1864,2584,16528
-736,1760,16224
-1288,1328,17184
320,-4144,16016
1008,-6032,14568
1528,-17128,3088
800,-16992,-2936
736,-15856,-4048
-296,-14672,-8592
1984,-3920,-17344
1872,6936,-14184
904,14328,-8912
200,17008,-2712
1888,15880,3600
280,11136,10224
-688,6048,15176
-2656,2536,17424
-232,2296,17176
-168,-3008,16848
-5648,-688,12032
-13416,7264,10816
-13600,3976,3416
-14864,4104,-3384
-14488,3048,-5528
-14160,4096,-7880
-13472,4176,-9520
-12104,3648,-11240
-6536,2848,-16008
4200,864,-14688
10368,-1536,-10952
15136,-2424,-6472
15680,-3080,280
10360,-4640,10288
6848,-2456,16272
872,-184,16744
-4024,-864,15248
-5568,2952,15280
-5088,896,15616
-4624,1480,15416
-1608,-1152,16168
1664,-3248,16584
4752,-5576,13784
1536,-10280,13584
7640,-10672,8216
11944,-12184,2032
12296,-9656,-5608
8920,-7760,-12408
440,-5760,-15880
-7536,-2176,-15544
-13968,1968,-10160
-15272,8464,-4168
-12048,10704,4376
-6176,8304,10368
-1560,7392,12616
2000,5704,15000
4392,7368,16168
4440,1696,15320
3224,-2624,16616
4680,-5624,15528
40,-1744,17952
-8368,-2688,13160
-12208,-5888,5040
-13104,-7440,-4024
-10384,-7400,-11944
-5920,-3144,-16328
-3304,-2608,-16880
3752,5040,-16048
736,27504,-14880
3840,-6128,3568
-7904,15824,5192
-6056,14016,928
-352,14720,-8064
-1328,15664,-8920
4184,16392,-9880
9192,8792,-9056
13128,3608,-4192
14096,-144,4768
8608,-3776,13528
2048,-1656,17000
-2248,944,15480
-1640,-6912,16760
-944,-11240,10648
-1656,-15792,4848
-4744,-17280,-904
-3456,-16960,-9640
-2368,-10944,-10464
-6280,-9040,-15304
-3576,-2392,-15448
-2264,-1400,-16112
-3216,-1240,-16288
-1704,-4136,-15544
-1784,-14240,-10896
488,-13592,-6568
1176,-15328,-2816
1048,-16368,-2712
1728,-14400,1840
2176,-10856,10736
-720,-3120,15608
-1744,-1208,16544
-1320,-2744,16280
416,14752,10112
504,14720,5576
1304,15928,3904
896,15928,2464
-88,16448,-1944
-368,15288,-3072
144,15664,-1712
792,16440,-1616
528,15248,-1064
1632,16368,1432
1128,2480,12096
560,3768,16848
368,-2136,16016
808,-16496,5152
904,-16208,1312
872,-16336,1224
1184,-15248,4864
432,-17160,-5816
1416,-14096,-16168
2376,-1752,-16104
1592,-960,-16600
1792,-824,-16488
4120,-8664,-15672
7104,-15144,-6288
3376,-18320,528
-2144,-13656,10800
-64,-5696,15504
1976,-1224,16352
-1472,-2152,16424
-4088,-11152,13808
-2600,-10112,14152
-4160,2344,15312
-4568,9304,13744
-1928,10944,13176
-7344,3336,15432
576,-3712,15320
8256,7152,10544
5416,14240,-7520
2000,6656,-17680
656,928,-15816
-1664,-2944,-16872
-568,-1072,-16344
-1688,968,-16544
-3384,-824,-15976
-3456,1432,-17888
-424,6776,-14744
1440,16456,-10168
1344,10048,9440
-1296,-1104,16104
-1576,-6848,15432
-1608,-13080,12520
-488,-16840,2968
2504,-15568,-6568
2056,-13496,-8344
1440,-10704,-12776
1904,-6984,-15624
-688,-10072,-13072
-848,-12472,-11152
136,-12760,-12448
-3360,-10512,-12464
-592,-6328,-14744
2320,-5160,-14448
-2304,-9744,-14320
-3720,-12616,-7688
648,-14904,-7296
4776,-11024,-10512
9496,-5200,-13552
8928,-2328,-14136
5928,-4008,-15304
2848,-6424,-15968
1264,-13520,-10400
3776,-15160,3408
3904,-12400,9376
-456,-2344,17968
-1760,128,15384
-11400,-840,13960
-8432,24,13184
-376,-4816,14456
2048,-11160,12088
2952,-3680,13816
4848,4984,15184
5168,13144,10288
6312,17640,-3680
4080,14272,-5224
2848,12896,-8392
1664,13168,-9624
1080,12144,-11432
0,10240,-11968
-792,5824,-14968
-856,4288,-15856
-664,-2264,-17680
752,-1952,-16304
128,-512,-16120
-280,-1664,-17472
-1544,-4352,-15408
-1336,-16144,-2552
-264,-9560,8928
1080,-12512,12448
-624,-11112,13120
-2992,-19376,6528
-400,-17328,1264
-1072,-13984,-9696
-2104,8840,-9880
144,14864,-8840
1160,15400,4928
1104,9808,13400
2240,-1288,15184
1472,-7040,13640
1888,-7192,13896
2040,-8864,14664
3248,-13696,10272
5272,-16448,5832
4216,-15448,4080
4048,-13600,1416
6192,-15792,-1592
9056,-12888,2968
760,-13896,5016
-3528,-13680,6728
-9584,-10464,6224
-12752,-11312,1664
-15248,-7136,2208
-15216,-4544,7240
-10272,6288,10944
-8024,10216,16128
-3136,2496,16456
1448,-3280,17200
-7336,-1400,15784
-14792,-6216,5688
-16760,152,-2960
-12560,184,-11376
-9504,5296,-10784
-10352,10488,720
2304,11208,3608
10896,6216,2112
11840,8008,2320
16720,7192,-5704
17008,-3504,-3288
15528,2672,5080
15280,-3320,5104
12912,-8560,7744
9456,-11840,-1888
5824,-11416,-17008
5200,-2384,-16560
7056,2856,-14480
8776,5400,-13376
9056,3792,-12384
9144,-4616,-13640
3880,-6968,-14824
416,-4464,-16632
4192,2712,-15904
8112,4944,-13408
11416,2488,-10192
13400,-2704,-9336
10224,-5576,-11832
6560,-3992,-15544
11848,2592,-12160
12656,5776,-7120
8904,10064,13120
4608,7968,12000
2416,696,15216
2064,808,17352
-1184,4192,16808
-2312,4832,15896
-4328,3344,15288
-2072,4920,16640
-2464,6016,16024
-1184,4528,14792
304,5184,14512
808,6424,13776
4240,5312,15032
4584,5912,15160
5160,5120,14832
4472,4912,14904
4152,4984,14568
4640,6240,14784
4176,5400,14888
3928,4632,15544
5128,6256,14936
4144,2936,15992
3736,1680,17104
3000,-3832,15336
7344,-9776,11048
9336,-10768,10120
11104,1888,12544
10064,4728,12936
10232,6304,11432
9768,8560,10064
12000,7568,-680
13424,3024,-9296
13112,-4712,-10112
11920,-5256,-9736
11864,-7072,-9456
11768,-7736,-9360
11264,-6960,-9152
6832,-8296,-15208
-152,368,-14904
-2952,-6816,-14832
-2184,-13848,-8760
-2504,-14384,16
-1944,-10648,14168
